Short name,Official name,English name ,Municipality ,Address,Coordinates,URL,Designated,Criteria,Description,Short description,Object type,Construction year,Architect
Svrzina kuća,Stambena graditeljska cjelina - Svrzina kuća u Sarajevu,"Svrzina house ensemble, the residential architectural ensemble",Sarajevo - Stari Grad ,"Glođina br. 6, Čurčića brijeg, 71000 Sarajevo","43.862438 N
18.4271253 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2515?return=&page=2&search=idgrad:undefined:86|,3/11/2004,"A, B, C(iii,iv), D(iv,v), E(iii,v), F(ii,iii), G(iii,iv,v)","Svrzina kuća nalazi se u ulici koja je do danas u velikoj mjeri sačuvala izvornu ambijentalnu vrijednost. Predstavlja jedan od najreprezentativnijih sačuvanih primjera stambene arhitekture iz osmanskog perioda u Bosni i Hercegovini. Koncept stanovanja bio je podijeljen na muški i ženski dio kuće, selamluk i haremluk, zapravo, javni i privatni dio. Najstariji dio kompleksa je jednospratni objekt čija je orijentacija istok-zapad i koji se sastoji od dva dijela: prvog zvanog starija ženska kuća i drugog zvanog muška kuća (selamluk ili baškaluk). Muški i ženski dio kuće na spratu je povezan posebnim prolazom zvanim mabejn. Kompleks Svrzine kuće sastoji se od avlije sa baštama, mlade ženske kuće, stare ženske kuće, muške kuće i momačke kuće. Porodica Svrzo, koja je kuću naslijedila ženidbenim vezama od porodice Glođo, prodala je kuću šezdesetih godina Muzeju grada Sarajevo nakon čega je objekat pretvoren u muzej.",Svrzina kuća sa selamlukom i haremlukom je jedan od najreprezentativnijih primjera stambene arhitekture iz osmanskog perioda u Bosni i Hercegovini.,"Stambeni objekat (porodična kuća)Muzej",prije 1640. godine,Arhitekta nepoznat
Petrakijina ulica,"Graditeljska cjelina – kompleks vila iz austrougarskog perioda u Petrakijinoj ulici (Vila Mandić, vila Heinricha Reitera, vila Hermine Radisch i vila Forstratha Miklaua) u Sarajevu","Complex of villas from the Austro-Hungarian period in Petrakijina Street (the Mandiæ Villa, the Heinrich Reiter Villa, the Hermina Radisch Villa and the Forstrath Miklau Villa), the architectural ensemble",Sarajevo - Stari Grad ,"Petrakijina, Banski brijeg, 71000 Sarajevo","43.8605933 N
18.4229333 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3075?return=&page=2&search=idgrad:undefined:86|,11/3/2009,"A, B, C(i,ii,iii,iv,v), D(iii,iv), F(i,ii,iii), G(i,ii,v), H(i,ii,iii)","Graditeljska cjelina – kompleks vila iz austrougarskog perioda u Petrakijinoj ulici (Vila Mandić, vila Heinricha Reitera, vila Hermine Radisch i vila Forstratha Miklaua) predstavlja najočuvaniju cjelinu vila iz austrougarskog perioda u Sarajevu, neprocjenjive istorijske i dokumentarne vrijednosti, koje predstavljaju izvor saznanja o načinu gradnje i života u centralnom dijelu grada Sarajeva, s početka XX vijeka. Pored istorijske i dokumentarne vrijednosti, ova graditeljska cjelina ima veliku ambijentalnu, ali i umjetničko-estetsku vrijednost, s obzirom na to da su, tada najveći projektantski autoriteti u Bosni I Hercegovini, gradili jedinstvene objekte, u stilskom i oblikovnom smislu.","Kompleks vila iz austrougarskog perioda u Petrakijinoj ulici predstavlja najočuvaniju cjelinu vila iz austrougarskog perioda u Sarajevu, velike istorijske i dokumentarne vrijednosti.",Stambeni objekti (porodične vile),1903./04.,"Karel Pařík (vila Mandić)Karel Pařík, Rudolf Tönnies (vila Heinricha Reitera)Rudolf Tönnies, pretpostavka (vila Hermine Radisch)Rudolf Tönnies (vila Forstratha Miklaua)"
Konak,Graditeljska cjelina Konak u Sarajevu zajedno sa pokretnim naslijeđem,"Konak (Residence), together with movable heritage, the architectural ensemble",Sarajevo - Stari Grad ,https://docs.google.com/document/d/1kYj5tjDPbl4EN9wptmXwv6cnMonONqq5oT-fj9UY9QE/edit?usp=sharing,"43.8564732 N
18.4304901 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2982?return=&page=2&search=idgrad:undefined:86|,12/9/2007,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii), E(i,ii,iii,iv), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i,ii), I(i,ii)","Nacionalni spomenik čini: objekat rezidencije Konak zajedno sa pokretnim naslijeđem (17 slika i namještaj), pomoćni objekat i park. Zgrada Konaka je projektovana kao rezidencijalna zgrada izgrađena u duhu istoricizma sa elementima kansog turskog baroka koji se ogleda u tlocrtnom rješenju objekta kao i u likovno-arhitektonskom rješenju fasada. Konak je sagradio Topal Osman-paša, koji je bio vezir u Sarajevu. Od svoje izgradnje, konak je bio mjesto istorijskih susreta i važnih događaja za Bosnu i Hercegovinu. U periodu 1918–1941. u kompleksu Konaka su stanovali generali, veliki župani i banovi, dok je u periodu Kraljevine Jugoslavije, Konak korišten kao kraljeva rezidencija. Konak je namjenjen za smještaj visokih zvaničnika tokom njihove službene posjete Bosni i Hercegovini.",Zgrada Konaka je projektovana kao rezidencijalna zgrada izgrađena u duhu istoricizma sa elementima kasnog turskog baroka.,Rezidencijalni objekat,1869. godina,Franjo Linardović i Franjo Moise
Kozija ćuprija,Istorijski spomenik – Kozija ćuprija u Sarajevu,"Kozija ćuprija («Goat Bridge»), the historic monument",Sarajevo - Stari Grad ,"Dariva, 71000 Sarajevo","43.853613 N
18.4571218 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2503?return=&page=2&search=idgrad:undefined:86|,1/9/2004,"A, B, C(i,ii,iii,iv,v,vi), D(i,ii), E(i,ii,iii,iv), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i,ii), I(i,ii)","U stara vremena na Kozijoj ćupriji se dočekivalo i ispraćalo. Tim povodom organizovana je svečanost tokom koje je izvođen skok sa ćuprije. Uzimajući u obzir visinu kamenog luka i dubinu Miljacke, skok se smatrao izuzetnim podvigom. Ćuprija se nalazila na poznatom „Carigradskom drumu“ i povezivala je Sarajevo sa Istokom. Kozija ćuprija je kameni jednolučni most koji povezuje dvije obale Miljacke na rasponu od 17,50 metara. O nastanku Kozije ćuprije nema dovoljno podataka. Legenda kaže da je neki pastir Mehmed tu čuvao koze. Pažnju mu je privuklo kopkanje koze oko jednog kamena gdje je pronašao ćup sa zlatom. Od tog novca završio je školu i postao ugledni paša, a kao uspomenu na ovaj događaj dao je sagraditi Koziju ćupriju.","Kozija ćuprija je kameni jednolučni most koji povezuje dvije obale Miljacke. Nalazila se na poznatom ""Carigradskom drumu"", i povezivala je Sarajevo sa Istokom. ",Most ,XVI vijek,Arhitekta nepoznat 
Kuća Alije Đerzeleza,Graditeljska stambena cjelina kuće poznate kao kuća Alije Đerzeleza u Sarajevu,"Alija Ðerzelez house, the architectural ensemble",Sarajevo - Stari Grad ,"Alije Đerzeleza br. 6, Vrbanjuša, 71000 Srajevo","43.8644341 N
18.4295929 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2581?return=&page=2&search=idgrad:undefined:86|,31/8/2005. ,"A, B, C(iii,iv,v), D(iv,v), F(i,ii,iii), G(iii,iv,v), I(i,iii)","Graditeljska cjelina kuće poznate kao kuća Alije Đerzeleza je sagrađena između dvije mahale, mahale mesdžida Sarač Alije i mahale mesdžida Kadi Bali-efendije. Kuća je građena namjenski kao porodična kuća za bogatiju zanatlijsku porodicu. Do danas nisu pronađeni tačni podaci o osnivaču i graditelju objekta. Iako se pripisuje narodnom junaku Đerzelez Aliji, kompleks nije toliko star da bi mu mogao pripadati. Kuća pretstavlja reprezentativni primjer stambene arhitekture iz osmanskog perioda i podjeljena je na muški i ženski dio, što je bilo tipično za vrijeme u kojem je nastala. Tri osnovna materijala su korištena za gradnju objekta – kamen, drvo i ćerpič. Graditeljska cjelina kuće poznate kao kuća Alije Đerzeleza je u izuzetno dobrom stanju, s obzirom na to da je nedavno obnovljena.","Do danas nisu pronađeni tačni podaci o osnivaču i graditelju objekta. Iako se pripisuje narodnom junaku Đerzelez Aliji, kompleks nije toliko star da bi mu mogao pripadati.",Stambeni objekat (porodična kuća),XVII vijek,Arhitekta nepoznat 
Kuća Damić,Istorijska građevina – Kuća Damić u Radićevoj ulici broj 10 u Sarajevu,"Damić house at no. 10 Radićeva street, the historic building",Sarajevo - Centar ,"Radićeva br. 10, 71000 Sarajevo","43.8585562 N
18.4173731 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3225?return=&page=2&search=idgrad:undefined:86|,13/5/2009,"A, C(iii,iv), D(iii), F(i,ii), G(i,v), I(iii,iv)","Kuća Damić u Sarajevu je jedna od prvih građevina izgrađenih u Sarajevu u periodu između dva svjetska rata, koja je pokazala uticaj modernističkih ideja, koje su ovdje kombinovane sa art deco elementima da bi se kreirao prepoznatljiv karakter moderne. Posebnu vrijednost tom objektu daje činjenica da su oblik i hromatska obrada pročelja originalni, s obzirom da nikada nisu vršeni konzervatorsko-restauratorski ili radovi redovnog održavanja fasada, a originalno pročelje je veoma dobro očuvano. Slično je sa enterijerom objekta, koji je dobrim dijelom originalan i očuvan. U unutrašnjem dvorištu se nalazi objekat u kojem se nalazila prodavnica pića, čiji su originalni oblik i vanjski gabariti sačuvani. ","Kuća Damić je jedna od prvih građevina izgrađenih u Sarajevu u periodu između dva svjetska rata, koja je pokazala uticaj modernističkih ideja kombinovanih sa art deco elementima.",Stambeni objekat ,1926. godina,Helen Baldasar i Dušan Smiljanić
"Latinska ćuprija, Principov most",Istorijska građevina – Latinska ćuprija u Sarajevu,"Latinska bridge, the historic building",Sarajevo -  Stari Grad ,"Zelenih beretki 1, 71000 Sarajevo","43.8576525 N
18.42901 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2506?return=&page=2&search=idgrad:undefined:86|,3/9/2004,"A, B, C(iii,iv), D(iv), F(iii,v), F (ii), G(iii,v)","Most premošćuje rijeku Miljacku i nalazi se u neposrednoj blizini parka At mejdan i Muzeja sarajevskog atentata. Latinsku ćupriju izgradio je Ajni Ali-beg na mjestu nekadašnjeg kamenog mosta u dijelu grada koji su većinom naseljavali dubrovački trgovci i sarajevski katolici i koji se nazivao latinluk Frenklul. Otuda i prvobitni naziv za najpoznatiji sarajevski most, kod kojeg je 28. juna 1914. godine Gavrilo Princip izvršio atentat na austrougarskog prijestolonasljednika nadvojvodu Franca Ferdinanda i njegovu suprugu Sofiju. Nakon regulacije Miljacke dužina mosta skraćena je za čitav njegov luk. Ispod slojeva asfalta, u današnjoj Obali Kulina bana, na desnoj obali Miljacke, taj kameni luk još uvijek postoji. Latinska ćuprija pretstavlja jedan od najprepoznatljivijih simbola grada, a stilizovani oblik mosta nalazi se u grbu i zastavi grada Sarajeva. Pored arhitektonske i istorijske vrijednosti ima veliki turistički značaj.",Latinsku ćupriju izgradio je Ajni Ali-beg na mjestu nekadašnjeg kamenog mosta u dijelu grada koji su većinom naseljavali dubrovački trgovci i sarajevski katolici i koji se nazivao latinluk Frenklul.,Most ,1798. godine,Arhitekta nepoznat 
Magribija,Istorijski spomenik – Magribija džamija u Sarajevu,"Magribija mosque, the historic monument",Sarajevo - Centar ,"Magribija br. 5, 71000 Sarajevo","43.8571275 N18.4092107 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2542?return=&page=2&search=idgrad:undefined:86|,15/3/2005,"A, B, C(i,iii,iv,v), D(iv,v), E(i,ii,iii,iv), F(ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i), I(i,ii,iii)","Prema predanju šejh Magribija je došao u Sarajevo sa Isabegom (osnivačem grada i prvim sarajevskim namjesnikom) i tu sagradio džamiju. O šejh Magribiji se ne zna gotovo ništa, osim što se može zaključiti iz samog imena, tj. da je bio član derviškog reda i da je porijeklom iz Magriba (to je bilo ime za islamske zemlje sjeverne Afrike: Tunis, Alžir i Maroko). Džamija pripada tipu jednoprostornih džamija sa kamenom munarom i četverovodnom drvenom krovnom konstrukcijom ispod koje se nalazi drveno kube. U trijemu džamija ima drvene stubove sa kamenim bazama i kapitelima. Zidovi glavnog kubusa su građeni od ćerpiča sa drvenim hatulama, iznutra i izvana malterisani i bojeni. U današnjem obliku Magribija džamija mogla je nastati između 1538. i 1565. godine, kada se prvi put spominje u jednom aktu sarajevskog sidžila. ",Džamija pripada tipu jednoprostornih džamija sa kamenom munarom i četverovodnom drvenom krovnom konstrukcijom ispod koje se nalazi drveno kube.,Sakralni objekat (džamija),XVI vijek,Arhitekta nepoznat 
Mišćina džamija,Istorijska građevina – Mišćina (Kebkebir hadži Ahmedova) džamija u Sarajevu,"Mišćina (Kebkebir hajji Ahmed) Mosque, the historic building",Sarajevo - Stari Grad ,"Mišćina ulica, 71000 Sarajevo","43.8625634 N
18.4353597 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3647?return=&page=2&search=idgrad:undefined:86|,7/11/2012,"A, B, C(i,ii,iii,iv,v,vi), D(iv,v), E(i,ii,iii,iv,v), F(i,ii,iii), G(i,ii,iii,iv,v,vi,vii), H(i,ii,iii)","Mišćina džamija ubraja se među veće džamije u Sarajevu sa četverovodnim krovom i kamenom munarom. Za ovu džamiju karakteristični su: kamena munara koja je, za razliku od munara na većini ostalih džamija, izvedena u ravni zida i kolorisani zidni crteži sa motivima Meke i Medine, koji su rad najpoznatijeg sarajevskog nakaša (slikara) XIX vijeka - hadži Mustafe Faginovića. Stradala je u požaru koji je izazvan napadima princa Eugena Savojskog na Sarajevo. Obnovljena je 1700. godine. Džamija i mahala su u narodu poznatije kao Mišćina džamija/mahala, prema omiljenom mujezinu Mišći koji je živio u 18. vijeku. Njegov mezar, obilježen skromnim nišanima, nalazi se u groblju Kovači, u neposrednoj blizini džamije.
",Mišćina džamija ubraja se među veće džamije u Sarajevu sa četverovodnim krovom i kamenom munarom.,Sakralni objekat (džamija),1557. godina,Arhitekta nepoznat 
Rimski most,"Prirodno-graditeljska cjelina – Most u Plandištu (Rimski most, Most preko rijeke Bosne u Plandištu)","Bridge in Plandište (“Roman” bridge; bridge over Bosna river in Plandište), the natural and architectural ensemble",Ilidža,"Plandište, 71210 Ilidža","43.8316128 N
18.2860123 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2533?return=&page=2&search=idgrad:undefined:86|,15/3/2005,"A, B, C(i,ii,iii,iv,v,vi), D(i,iii,iv,vi,viii), E(i,ii,iv), G(i,ii,iii,iv,v,vi,vii), H(i,ii,iii), I(ii,iii,iv,v)","Kao što je Kozja ćuprija, u simboličkom smislu, istočna kapija grada Sarajeva, Rimski most je njegova zapadna kapija. Rimski most na rijeci Bosni smješten između Ilidže i Blažuja, na nekadašnjem „Carigradskom drumu“ spada u četiri najstarija sačuvana mosta u Sarajevu (preostala tri su Kozija ćuprija, Šeher-Ćehajina ćuprija i Latinska ćuprija). Kako je most izgrađen od kamena i od ostataka objekata iz rimskog perioda u narodu je prozvan Rimski most. Iako nije poznato ko je prvobitno izgradio most, zna se da je tokom svoje viševijekovne istorije most više puta obnavljan, a posebno značajnom obnovom se uzima ona iz polovine XVI vijeka koju je izveo Rustem-paša Hrvat. 
","Rimski most na rijeci Bosni smješten između Ilidže i Blažuja, na nekadašnjem „Carigradskom drumu“, spada u četiri najstarija sačuvana mosta u Sarajevu.",Most ,između 1530. i 1550. godine,Arhitekta nepoznat 
Muzej književnosti i pozorišne umjetnosti,"Stambena graditeljska cjelina – Rodna kuća Vladislava Skarića (Kuća Jeftana Despića, Objekat Muzeja književnosti i pozorišne umjetnosti BiH) u Sarajevu","Birthplace of Vladislav Skarić (the Museum of Literature), the residential architectural ensemble",Sarajevo - Stari Grad ,"Sime Milutinovića Sarajlije br. 5, 71000 Sarajevo","43.8577717 N
18.4265655 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3353?return=&page=3&search=idgrad:undefined:86|,7/9/2011,"A, B, C(iii,iv,v), D(iv,v), F(ii,iv), G(ii)","Objekat Muzeja književnosti i pozorišne umjetnosti BiH je objekat sa visokom istorijskom, umjetničkom i ambijentalnom vrijednošću. Važnost objekta ogleda se u tome što je u ovoj kući rođen poznati istoričar i naučni radnik Vladislav Skarić, čija su najznačajnija djela vezana za istoriju Sarajeva, njegov postanak i razvoj. Od 1886. godine do 1951. godine vlasnik objekta postaje ugledna sarajevska trgovačka porodica Despić, nakon čega objekat prelazi u društveno vlasništvo. U kući se od 1961. godine nalazi Muzej književnosti, koji od 1969. godine počinje da izučava i pozorišnu umjetnost Bosne i Hercegovine. U septembru 1992. godine u prizemlju Muzeja otvoren je izložbeni prostor galerije „Mak“. Objekat je građen kao jednospratnica sa trijemom. U kući je do danas ostao očuvan dio izvornog namještaja.","Objekat Muzeja književnosti i pozorišne umjetnosti BiH je objekat sa visokom istorijskom, umjetničkom i ambijentalnom vrijednošću.","Stambeni objekat (porodična kuća), Muzej",Polovina XVII vijeka (pretpostavka),Arhitekta nepoznat 
Muzička akademija,Povijesna građevina – Muzička akademija (Zavod svetog Augustina) u Sarajevu,"Music Academy (College of St. Augustine), the historic building",Sarajevo - Stari Grad ,"Josipa Štadlera br. 1, 71000 Sarajevo","43.8603664 N
18.4249715 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3273?return=&page=3&search=idgrad:undefined:86|,9/9/2009,"A, C(iii,iv,v), D(iii), F(i,ii,iii), G(i,ii,v), I(i,ii,iii)","Muzička akademija (Zavod svetog Augustina) u Sarajevu značajna je zbog svoje istorijske, umjetničke i ambijentalne vrijednosti.Objekat je projektovan u duhu neogotike, približno pravokutne tlocrtne osnove dimenzija 51,00 m x 16,10 m i postavljen je u pravcu jugozapad–sjeveroistok. Za potrebe Muzičke akademije, šezdesetih godina XX vijeka izvršena je adaptacija tavana u prostor namijenjen za nastavu i smještaj Instituta za muzikologiju. U funkcionalnom smislu, objekat predstavlja obrazovnu instituciju, gdje je na etaži prizemlja smještena Osnovna muzička škola, na prvoj etaži Srednja muzička škola, a na trećoj etaži i potkrovlju Muzička akademija.","Muzička akademija (Zavod svetog Augustina) izgrađena je u duhu neogotike i značajna je zbog svoje istorijske, umjetničke i ambijentalne vrijednosti.",Obrazovni objekat (Muzička akademija),1893. godina,Josip pl. Vancaš
Napredak,"Istorijska građevina Napretkove palate (Zgrada Hrvatskog kulturnog društva ""Napredak""; Napretkov Zakladni dom), u Titovoj 56 u Sarajevu","Historical ensemble – Napretkova palace (Building of the Croatian cultural society ""Napredak"")",Sarajevo - Centar ,"Maršala Tita br. 56, 71000 Sarajevo","43.8584988 N
18.4212533 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3907?return=&page=3&search=idgrad:undefined:86|,4/3/2015,"A, C(i,ii,iii,iv,v,vi), D(iii,iv), F(v), G(i,ii,iii), H(v,vi,vii), I(i,ii,iii), J(i,ii,iii)","Austrougarski period u Sarajevu obilježila je gradnja stambeno-poslovnih palata, a jedna od najreprezentativnijih je Napretkova palata. Objekat je projektovan u duhu secesije sa jakim uticajem neoklasične arhitekture u pogledu fasada i dekorativnih detalja. Izgradnja Napretkove palate (1911–1913) je okupila tadašnje vrhunske umjetnike i majstore svoga zanata. Nadzor na izvođačkim radovima vršili su arhitekta Josip pl. Vancaš (predstavnik Bosanskohercegovačkog dioničkog građevinskog društva) i arhitekta Dionis Sunko, kao predstavnik Napretka, te arhitekta Gustav Graf 20 - sarajevski Sunkov zamjenik nadzora gradnje. Na pročelju su dvije skulpture: Prosvjeta i Snaga, djelo Roberta Frangeša Mihanovića. Na krovu se nalazi skulptura Croatia. U središnjem dijelu Napretkove palače od 7. marta 1955. godine uselio se novoosnovani Kamerni teatar 55, koji je utemeljio pozorišni reditelj, producent i teoretičar Jurislav Korenić. ",Objekat je projektovan u duhu secesije sa jakim uticajem neoklasične arhitekture u pogledu fasada i dekorativnih detalja.,Stambeno-poslovna palata,1913. godina,Dionis Sunko
Narodno pozorište,Istorijska građevina – Narodno pozorište u Sarajevu,"National Theatre, the historic building",Sarajevo - Centar ,"Obala Kulina bana br. 9, 71000 Sarajevo","43.8571543 N
18.4206014 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2981?return=&page=3&search=idgrad:undefined:86|,12/9/2007,"A, B, C(i,iii,iv,v), D(iii,iv), F(ii,iii), H(i), I(i,ii,iii)","Tokom austrougarske uprave, ovaj objekat nikada nije zvanično prerastao u pozorište, već je sve vrijeme bio „Društveni dom“, ili „Herren club“ ili „Clubhaus“, u kojem se mogu održavati i pozorišne predstave, „Saaltheater“. Stilski gledano, objekat je rađen istoricističkim neorenesansnim jezikom, a u pogledu kompozicije i detalja, moguće je prepoznati određene elemente koji su preuzeti sa „Narodnog pozorišta“ u Pragu ili „Berze“ u Beču. Razvoj fasade, pročelja, horizontalna raščlanjenost, karakteristični detalji kamene ograde i drugo, su elementi koji vezuju projekat „Društvenog doma“ u Sarajevu, sa svojim desetak godina starijim, uzorom iz Praga. Godine 1980., izvršena je veća intervencija na objektu Narodnog pozorišta prema projektu Nedeljka Kosića. Ova intervencija je bila jedna u nizu intervencija koje su vršene na zgradi u cilju njenog održavanja, ili prilagođavanja savremenim potrebama. ",Narodno pozorište projektovano je kao zgrada društvenog doma po uzoru na zgradu pozorišta u Pragu. Doživjela je više prepravki i adaptacija.,Rezidencijalni objekat,1898. godina,Karel Pařík
Nekropola u Faletićima,"Istorijsko područje – Nekropola sa stećcima i nišanima u Faletićima, opšina Stari Grad Sarajevo","Necropolis with stećak and nišan tombstones in Faletići, the historic site",Sarajevo - Stari Grad ,"Faletići, 71000 Sarajevo","43.8825521 N
18.4688778 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3388?return=&page=3&search=idgrad:undefined:86|,4/6/2012,"A, B, C(i,ii,iii,iv), D(i), E(i,ii,iii), F(i,ii,iii,iv,v)","Poseban značaj ovom istorijskom području daje izmiješanost i preklapanje grobalja iz različitih istorijskih perioda. Na lokalitetu se nalazi 57 stećaka, od toga 51 u obliku sanduka i 6 u obliku sljemenjaka i 22 nišana. Stećke karakterišu sanduci sa pravougaonim udubljenjem – koritom, dok su nišani u obliku stele i sa turbanom u gužve. Jedan nišan je izmješten sa lokaliteta i prenesen u Muzej grada Sarajeva, gdje je upisan u inventarnu knjigu Arheološke zbirke Muzeja. Izložen je u prostorijama Brusa bezistana u Sarajevu, u sklopu stalne postavke. U obliku je trapezoida sa krovom na dvije vode. Na njemu se nalaze ukrasi polujabuke, polumjeseca, predstava životinja – srne i jelena, ispružene ruke, sablje i luka. Istraživačke radove u smislu evidentiranja i prikupljanja podataka o stećcima i nišanima vršili su Šefik Bešlagić i Vejsil Ćurčić.","Na lokalitetu se nalazi 57 stećaka, od toga 51 u obliku sanduka i 6 u obliku sljemenjaka i 22 nišana.",Nekropola,XVI vijek,/
Greblje,"Prirodno i istorijsko područje – Nekropola sa stećcima i nišanima Grčko groblje/Svatovsko groblje (Greblje) u selu Donji Močioci, općina Stari Grad – Sarajevo","Necropolis with stećak and nišan tombstones at Grčko groblje (Greek burial ground)-Svatovsko groblje (Greblje) in the village of Donji Močioci, the natural and historic site, Municipality Stari Grad",Sarajevo - Stari Grad ,"Donji Močioci, Nahorevo, 71000 Sarajevo","43.9101976 N
18.4092402 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3043?return=&page=3&search=idgrad:undefined:86|,10/9/2008,"A, B, C(i,ii,v), D(i,iv), E(ii,iii,v), F(iii), G(i,ii,iv,v)","Nacionalni spomenik čine nekropola sa 61 stećkom, 15 nišana i jedan osamljeni stećak koji se nalazi izvan nekropole. Obrada stećaka je dobra, ali su mnogi primjerci okrnjeni, prevrnuti i utonuli u zemlju. Položeni su u nizu od juga prema sjeveru i orijentisani u pravcu zapad – istok i sjever – jug te jedan stećak sjeverozapad – jugoistok. Ukrasni ornamenti evidentirani su na osam stećaka. Istraživačke radove u smislu evidentiranja i prikupljanja podataka o stećcima vršila je Snježana Mutapčić 1987. godine. Konzervatorsko – restauratorski radovi nisu preduzimani. ","Nacionalni spomenik čine nekropola sa 61 stećkom, 15 nišana i jedan osamljeni stećak koji se nalazi izvan nekropole.",Nekropola,XV i XVI vijek,/
Vaso Miskin Crni,Objekti skloništa u krugu nekadašnje industrijske zone – Glavne željezničke radionice Sarajevo,Objects of the warehouse in the area of former industrial zone – Main railway workshop in Sarajevo,Sarajevo - Novo Sarajevo,"Kolodvorska bb, 71000 Sarajevo","43.8549752 N 18.3865136 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/3826?return=&page=3&search=idgrad:undefined:86|,2/4/2014,"A, B, C(i,ii,v), D(i,iv), E(ii,iii,v), F(iii), G(i,ii,iv,v)","Winkel-skloništa za sklanjanje i zaštitu ljudi od razornog djelovanja avio bombi u vrijeme ratnih sukoba, koji je patentirao 1935. godine njemački inženjer Leo Winkel, građeni su na teritoriju njemačkog Rajha u zonama sa stacioniranim postrojenjima teške industrije i željezničkim centrima. Na području Njemačke izgrađeno je oko stotinu ovakvih skloništa. U vrijeme II svjetskog rata u Sarajevu je, na lokalitetu nekadašnje Centralne radionice uskotračnih željeznica (Central – Werkstätte), njemačka vojna uprava izgradila četiri skloništa tipa Winkel, od kojih su sačuvana dva koja, s obzirom na njihovu tehničku i tehnološku originalnost i sačuvani stupanj autentičnosti i integralnosti, imaju kulturno-istorijsku vrijednost i značaj.","U vrijeme II svjetskog rata je na lokalitetu Centralne radionice uskotračnih željeznica njemačka vojna uprava izgradila četiri skloništa tipa Winkel, od kojih su sačuvana dva.","Industrijski objekti, skloništa",1939/45. godina ,Leo Winkel
Dom Armije,"Istorijski spomenik – Oficirska kasina (Dom Vojske Federacije, Dom Armije) u Sarajevu","Officers’ Casino (Federation Army Centre, Army Centre), the historic monument",Sarajevo - Stari Grad ,"Zelenih beretki br. 2, 71000 Sarajevo","43.8575866 N
18.4240046 E",http://aplikacija.kons.gov.ba/kons/public/nacionalnispomenici/show/2810?return=&page=3&search=idgrad:undefined:86|,15/3/2006,"A,B,D(ii,iii), E(iii,v), F(i,ii,iii)","Objekat Oficirske kasarne – Doma Armije je tipičan primjer arhitekture s kraja XIX i početaka XX vijeka. Predstavlja prvi značajniji romantičarski koncipiran objekat u Sarajevu. Današnji izgled i veličina objekta potiču iz 1912. godine, kada je objekat produžen i zgradi kasine dograđen sprat sa velikom svečanom salom. U ovom objektu je izvedena prva opera u izvedbi pozorišta Hajnriha Špire. Cijela kompozicija današnjeg objekta izvedena je po principu stroge simetrije sa posebno naglašenom sjevernom fasadom i isturenim centralnim rizalitom i nešto manje akcentovanim bočnim krilima. U svečanoj dvorani Doma Armije izložena su četiri velika platna akademskog slikara Ismeta Mujezinovića. Vanjska fasadna platna su djelomično oštećena usljed nepovoljnih atmosferskih utjecaja i dugogodišnjeg neodržavanja objekta.","Današnji izgled i veličina objekta potiču iz 1912. godine, kada je objekat produžen i zgradi kasnije dograđen sprat sa velikom svečanom salom. U ovom objektu je izvedena prva opera u izvedbi pozorišta Hajnriha Špire.",Javni objekat ,1881. godina,Grupa arhitekata 
